tweet_id,tweet_text
71,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
72,"VERY OBVIOUS &amp; LOGICAL,GEN ZIA TEAM DECIDED TO WORK WITH IRAN AND ARABS TO HANDLE THE SITUATION,AS MOST OF MUJAHIDE… https://t.co/MfXg0rW5YA"
73,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
74,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
75,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
76,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
77,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
78,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
79,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
80,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
81,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
82,"#StopKillingKashmiris
Indians who comment on our trends only have few things to say Pakistan is running on loan,Osa… https://t.co/nAoCQGP57O"
83,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
84,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
85,@HyArafat @AZHAR23092016 @ramanswall @ghulamabbasshah @realDonaldTrump @SMQureshiPTI @ashoswai @LodhiMaleeha… https://t.co/9Qz4jYOZ3q
86,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
87,"@JYounas41 @amritabhinder @NBCNews @Reuters The world also knows this.

https://t.co/30cmAaXMLr"
88,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
89,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
90,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
91,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
92,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
93,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
94,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
95,"RT @SameeraKhan: In the same tweet, you’re claiming that Pakistan (Kashmir, Balochistan, Khyber Pakhtunkhwa, Sindh, etc.) is an integral pa…"
96,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
97,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
98,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
99,"@UnrankedChevron Hell, I remember when we supposedly got Osama bin Laden, the most wanted man in global history, an… https://t.co/p9vCqA9fMI"
100,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
